Episode,Total Reward,Final Score,Total Passes,Failed Passes
1,-361,0 - 7,487,456
2,-365,0 - 3,458,422
3,-341,0 - 2,478,456
4,-368,0 - 2,438,423
5,-365,0 - 2,454,436
6,-343,0 - 1,480,459
7,-413,0 - 2,469,454
8,-401,0 - 4,445,432
9,-353,0 - 3,456,439
10,-407,0 - 5,482,465
11,-280,0 - 2,465,436
12,-356,0 - 2,430,414
13,-408,0 - 3,457,426
14,-448,0 - 3,449,436
15,-282,0 - 3,425,390
16,-354,0 - 7,439,409
17,-403,0 - 3,432,412
18,-408,0 - 3,448,425
19,-350,0 - 4,419,398
20,-334,0 - 0,436,405
21,-328,0 - 3,423,401
22,-349,0 - 2,437,418
23,-415,0 - 1,397,383
24,-388,0 - 2,421,389
25,-360,0 - 1,433,415
26,-371,0 - 2,426,391
27,-345,0 - 2,412,390
28,-379,0 - 3,404,379
29,-339,0 - 2,423,403
30,-387,0 - 4,410,394
31,-288,0 - 1,418,401
32,-301,0 - 2,411,385
33,-327,0 - 3,436,413
34,-349,0 - 1,402,374
35,-326,0 - 3,437,419
36,-300,0 - 3,389,378
37,-289,0 - 3,387,356
38,-401,0 - 2,413,398
39,-361,0 - 2,429,407
40,-292,0 - 3,377,345
41,-357,0 - 2,388,372
42,-358,0 - 5,373,351
43,-379,0 - 3,392,347
44,-377,0 - 6,400,377
45,-306,0 - 3,432,410
46,-330,0 - 2,376,361
47,-305,0 - 6,377,356
48,-318,0 - 8,398,375
49,-268,0 - 2,380,344
50,-352,1 - 2,363,344
51,-215,0 - 0,370,336
52,-266,0 - 1,378,347
53,-270,0 - 0,378,358
54,-291,0 - 1,363,333
55,-300,0 - 1,380,351
56,-278,1 - 2,353,328
57,-343,0 - 5,341,314
58,-264,0 - 3,369,352
59,-332,0 - 3,364,343
60,-225,0 - 5,346,320
61,-312,0 - 5,362,339
62,-338,0 - 2,363,342
63,-303,0 - 3,367,341
64,-331,0 - 1,342,325
65,-321,0 - 1,364,345
66,-309,0 - 2,354,334
67,-329,0 - 4,318,295
68,-265,0 - 3,336,326
69,-288,0 - 5,350,318
70,-309,0 - 3,343,322
71,-266,0 - 2,384,350
72,-304,0 - 3,338,306
73,-278,0 - 4,347,310
74,-253,0 - 3,338,301
75,-296,0 - 3,322,307
76,-230,0 - 2,338,310
77,-310,0 - 3,344,320
78,-339,0 - 1,299,277
79,-334,0 - 0,304,276
80,-318,0 - 1,337,318
81,-287,0 - 2,323,295
82,-225,0 - 1,341,309
83,-229,0 - 2,300,278
84,-259,0 - 3,308,271
85,-241,0 - 3,332,310
86,-286,0 - 1,335,316
87,-327,0 - 3,325,304
88,-209,0 - 3,339,309
89,-264,0 - 2,305,289
90,-265,0 - 3,323,292
91,-274,0 - 4,310,274
92,-204,0 - 3,301,279
93,-201,0 - 6,298,269
94,-322,0 - 3,294,282
95,-304,0 - 4,335,317
96,-191,0 - 2,311,277
97,-184,0 - 2,281,240
98,-318,0 - 3,284,268
99,-281,0 - 3,284,261
100,-280,0 - 4,311,287
101,-243,0 - 1,304,274
102,-285,0 - 2,269,252
103,-280,0 - 8,304,261
104,-212,0 - 2,279,261
105,-294,0 - 2,295,260
106,-234,0 - 3,277,255
107,-256,0 - 2,293,275
108,-278,0 - 5,303,276
109,-252,0 - 4,290,265
110,-155,0 - 3,276,256
111,-269,0 - 6,285,267
112,-203,0 - 4,296,280
113,-285,0 - 1,249,232
114,-247,0 - 3,264,233
115,-273,0 - 3,275,267
116,-170,0 - 1,268,248
