Episode,Total Reward,Final Score,Total Passes,Failed Passes,Total Shots,Successful Shots,Possession Time,Interceptions,Ball Recoveries,Dribbles,Successful Dribbles,Tackles
1,-206,0 - 4,27,10,22,0,172,328,314,165,17,0
2,-344,0 - 5,12,4,13,0,115,342,315,149,3,0
3,-284,0 - 3,11,4,13,0,133,326,306,170,10,0
4,-260,0 - 1,35,8,22,0,203,341,313,167,15,0
5,-303,0 - 1,27,5,16,0,151,305,349,158,5,0
6,-245,0 - 3,18,4,12,0,133,314,287,172,9,0
7,-201,0 - 0,17,6,9,0,66,287,293,171,3,0
8,-311,0 - 5,15,3,8,0,91,287,300,150,6,0
9,-285,0 - 4,31,5,14,0,163,292,298,164,7,0
10,-308,0 - 5,23,6,17,0,153,309,309,148,9,0
11,-262,0 - 3,24,8,13,0,142,301,271,154,7,0
12,-233,0 - 1,28,5,11,0,175,275,311,158,12,0
13,-268,0 - 0,44,9,29,0,250,273,328,136,9,0
14,-267,0 - 4,23,9,14,0,128,329,255,148,9,0
15,-262,0 - 2,33,7,20,0,225,300,316,147,8,0
16,-283,0 - 1,26,7,13,0,155,290,291,164,15,0
17,-309,0 - 5,26,4,17,0,199,284,298,133,5,0
18,-272,0 - 2,20,3,12,0,111,310,316,153,5,0
19,-275,0 - 2,36,6,14,0,193,306,275,152,9,0
20,-216,0 - 1,22,3,14,0,181,303,285,148,11,0
21,-308,0 - 6,18,4,13,0,174,285,272,143,7,0
22,-188,0 - 4,17,2,16,0,155,283,267,155,10,0
23,-270,0 - 3,18,7,10,0,119,283,262,125,2,0
24,-264,0 - 3,25,8,10,0,113,280,302,138,4,0
25,-251,0 - 4,24,2,18,0,182,267,287,150,9,0
26,-224,0 - 0,15,4,12,0,129,287,246,151,8,0
27,-285,0 - 3,28,7,12,0,140,273,265,132,4,0
28,-256,0 - 3,17,6,22,0,177,260,310,130,8,0
29,-223,0 - 0,33,3,13,0,202,272,289,118,8,0
30,-259,0 - 2,14,3,11,0,113,258,296,150,8,0
31,-283,0 - 2,18,4,16,0,132,257,240,155,6,0
32,-220,0 - 4,20,5,13,0,129,283,257,122,8,0
33,-139,0 - 2,18,1,11,0,175,272,262,135,10,0
34,-260,0 - 5,20,1,15,0,205,261,293,126,7,0
35,-298,0 - 1,17,4,17,0,147,272,238,146,5,0
36,-223,0 - 2,21,5,9,0,159,265,265,150,10,0
37,-216,0 - 2,18,3,10,0,135,271,252,136,8,0
38,-239,0 - 2,22,4,23,0,166,271,243,126,5,0
39,-221,0 - 3,19,6,12,0,133,250,246,136,11,0
40,-168,0 - 3,18,3,6,0,88,263,263,125,4,0
41,-172,0 - 0,18,4,9,0,155,280,270,147,16,0
42,-256,0 - 1,19,2,16,0,148,261,253,146,2,0
43,-207,0 - 2,18,3,23,0,141,250,273,122,7,0
44,-250,0 - 0,13,4,12,0,93,258,253,141,6,0
45,-216,0 - 2,26,8,16,0,196,266,262,128,8,0
46,-240,0 - 1,14,2,13,0,148,253,284,107,9,0
47,-216,0 - 0,24,6,12,0,131,261,241,109,3,0
48,-263,0 - 4,27,3,21,0,193,224,255,117,12,0
49,-225,0 - 4,32,4,19,0,205,276,259,126,9,0
50,-173,0 - 2,54,6,19,0,267,267,244,123,7,0
51,-214,0 - 6,32,11,20,0,262,219,255,137,20,0
52,-183,0 - 4,24,4,14,0,184,212,243,136,13,0
53,-220,0 - 5,21,4,12,0,161,221,229,127,4,0
54,-256,0 - 4,15,3,15,0,160,245,254,134,8,0
55,-196,0 - 5,28,7,19,0,197,250,248,110,12,0
56,-295,0 - 3,22,4,18,0,215,232,240,117,9,0
57,-272,0 - 2,40,10,22,0,276,242,222,120,12,0
58,-210,0 - 1,27,4,16,0,173,243,238,127,7,0
59,-217,0 - 2,14,3,13,0,138,222,256,126,4,0
60,-178,0 - 1,28,4,18,0,194,224,239,98,12,0
61,-188,0 - 2,25,6,16,0,210,265,235,122,9,0
62,-240,0 - 5,27,7,13,0,203,220,216,118,12,0
63,-286,0 - 4,10,0,10,0,99,233,259,121,3,0
64,-177,0 - 0,21,4,10,0,163,240,232,114,11,0
65,-233,0 - 2,27,3,13,0,240,238,227,95,11,0
66,-207,0 - 4,37,7,12,0,209,256,238,105,8,0
67,-215,0 - 4,19,3,15,0,180,251,217,117,8,0
68,-164,0 - 1,26,4,21,0,210,237,230,104,6,0
69,-251,0 - 4,17,2,5,0,130,229,210,115,2,0
70,-121,0 - 0,38,5,14,0,224,229,229,108,9,0
71,-217,0 - 3,13,5,9,0,179,207,220,116,8,0
72,-193,0 - 6,17,1,18,0,212,196,244,115,15,0
